Wall time,Step,Value
1765322850.027917,10,-0.008770751766860485
1765322884.424052,20,0.0024963379837572575
1765322919.0890114,30,-0.00689697265625
1765322954.3030565,40,-0.01813659630715847
1765322991.0836751,50,0.006243896670639515
1765323028.4532788,60,-0.01627197302877903
1765323065.6109903,70,0.008776855655014515
1765323102.5871384,80,-0.013775634579360485
1765323138.8684068,90,0.03627319261431694
1765323174.9960325,100,-0.0062316893599927425
1765323211.8812468,110,-0.0012420654529705644
1765323248.4046493,120,-0.0068908692337572575
1765323284.8921778,130,-0.008120727725327015
1765323321.410877,140,-0.006243896670639515
1765323358.4891598,150,0.03190917894244194
1765323394.8430598,160,1.831054760259576e-05
1765323431.7562218,170,0.01062622107565403
1765323468.2249236,180,-0.0012695312034338713
1765323503.9136512,190,0.048797607421875
1765323541.6604347,200,-0.010650634765625
1765323578.5754073,210,0.009402466006577015
1765323614.982673,220,0.0012451171642169356
1765323651.7735307,230,0.02752685546875
1765323689.0902228,240,0.013751220889389515
1765323725.0902667,250,0.04881591722369194
1765323761.6565688,260,0.02125854417681694
1765323799.0759075,270,0.0956573486328125
1765323836.5304797,280,0.13521118462085724
1765323872.5949647,290,0.13703003525733948
1765323910.3902433,300,0.17014160752296448
1765323946.5796378,310,0.25413817167282104
1765323984.0062268,320,0.28596800565719604
1765324021.1560035,330,0.316925048828125
1765324058.32295,340,0.3787597715854645
1765324094.4848871,350,0.506805419921875
1765324130.816232,360,0.35499268770217896
1765324167.0482938,370,0.6773437261581421
1765324203.8941221,380,0.53887939453125
1765324239.5426161,390,0.80810546875
1765324276.9371848,400,0.6019042730331421
1765324313.4764435,410,0.6314452886581421
1765324350.5054994,420,0.6999756097793579
1765324387.3353047,430,0.816723644733429
1765324424.7372298,440,0.9274657964706421
1765324462.6958785,450,0.939990222454071
1765324499.2608595,460,1.0793945789337158
1765324535.8241253,470,1.119531273841858
1765324572.0294347,480,0.81494140625
1765324608.5359418,490,1.2522461414337158
1765324644.6922483,500,1.240625023841858
1765324681.8992078,510,0.858203113079071
1765324718.8859136,520,1.234619140625
1765324756.335973,530,1.2169921398162842
1765324793.2239065,540,1.2431640625
1765324830.5991263,550,1.2072265148162842
1765324867.47203,560,1.135009765625
1765324903.9688795,570,1.2459595203399658
1765324940.1035461,580,1.2625243663787842
1765324977.5787828,590,0.9764159917831421
1765325015.53492,600,1.2607421875
1765325052.7528307,610,1.332861304283142
1765325089.0620468,620,1.088769555091858
