Wall time,Step,Value
1767452415.7243528,10,0.14624576270580292
1767452450.098648,20,0.141103595495224
1767452484.767522,30,0.15418341755867004
1767452519.643158,40,0.18694254755973816
1767452556.4143388,50,0.18483512103557587
1767452593.7669857,60,0.19946277141571045
1767452631.1942408,70,0.1515294909477234
1767452668.1961133,80,0.18285104632377625
1767452704.9305825,90,0.19436903297901154
1767452740.9344785,100,0.18783794343471527
1767452777.89452,110,0.17886961996555328
1767452814.7876768,120,0.18681573867797852
1767452851.315149,130,0.230807363986969
1767452888.1457238,140,0.1851583868265152
1767452925.329585,150,0.20240505039691925
1767452962.675909,160,0.20256474614143372
1767452999.677641,170,0.2161758542060852
1767453036.409222,180,0.23027297854423523
1767453072.3797474,190,0.25922420620918274
1767453110.3773139,200,0.29690977931022644
1767453148.1196585,210,0.42721104621887207
1767453184.7304049,220,0.38494881987571716
1767453221.8560784,230,0.4197332561016083
1767453258.9896197,240,0.4390120208263397
1767453295.143284,250,0.4763661026954651
1767453332.1914294,260,0.6565165519714355
1767453369.3265717,270,0.45527204871177673
1767453407.2434921,280,0.5790178775787354
1767453443.368757,290,0.6802374124526978
1767453481.3600726,300,0.7201381921768188
1767453517.5877059,310,0.46979695558547974
1767453554.4973085,320,0.5655360221862793
1767453591.531809,330,1.004605770111084
1767453628.4777439,340,1.0755441188812256
1767453664.4891272,350,0.6778318285942078
1767453700.807854,360,0.9424569010734558
1767453736.8594425,370,0.6784316897392273
1767453773.6738265,380,0.9152194857597351
1767453810.7089314,390,0.7757107019424438
1767453847.7031024,400,0.6329097151756287
1767453883.8192744,410,0.6376250982284546
1767453920.6367037,420,0.7801678776741028
1767453957.0414054,430,1.1225286722183228
1767453993.810227,440,0.9088356494903564
1767454030.6761765,450,0.9428095817565918
1767454067.022866,460,0.6900843977928162
1767454103.2759323,470,0.5720949172973633
1767454139.330311,480,0.772505521774292
1767454176.0273197,490,4.40333890914917
1767454211.9159286,500,0.7290335893630981
1767454249.060516,510,0.7767508029937744
1767454284.983844,520,0.6122742891311646
1767454322.1257982,530,0.9350396394729614
1767454358.5193608,540,0.6786972284317017
1767454395.8339412,550,0.6505465507507324
1767454432.318332,560,0.9575515985488892
1767454468.3880498,570,0.6811515688896179
1767454504.163162,580,0.581913948059082
1767454541.024264,590,1.7128043174743652
1767454577.8898637,600,1.2375462055206299
1767454615.2730217,610,0.7553926110267639
1767454651.0279188,620,0.9992458820343018
1767454687.0515995,630,0.8006066679954529
1767454723.1492884,640,0.8935635089874268
1767454759.7169774,650,1.0600849390029907
1767454796.4631417,660,1.3758189678192139
1767454832.327617,670,0.6202073693275452
1767454869.4465144,680,0.8793852925300598
1767454905.670842,690,1.048194408416748
1767454942.9375117,700,0.8721230626106262
1767454978.583715,710,1.541874885559082
1767455015.7086062,720,0.71300208568573
1767455053.0453398,730,1.0550991296768188
1767455089.426047,740,0.6899391412734985
1767455126.2092516,750,0.7585530281066895
1767455163.3966959,760,1.3078449964523315
1767455199.875494,770,0.9162638783454895
1767455236.2384334,780,1.0720033645629883
1767455272.9015594,790,0.8149875998497009
1767455308.8351655,800,2.184140205383301
1767455345.7792583,810,1.4298242330551147
1767455382.2075355,820,0.5773342847824097
1767455417.8929224,830,0.79958575963974
1767455454.9665093,840,0.5165959596633911
1767455491.1430922,850,1.159226417541504
1767455527.9307272,860,0.8475792407989502
1767455564.9670558,870,1.0908384323120117
1767455601.3632958,880,0.6605854034423828
1767455638.3121746,890,1.4581314325332642
1767455674.6062365,900,1.4525859355926514
1767455711.4275925,910,0.5790731310844421
1767455748.4138591,920,1.6377016305923462
1767455786.0257864,930,0.9514046907424927
1767455822.551592,940,1.148663878440857
1767455859.9640088,950,0.9225545525550842
1767455896.9646685,960,0.7784417867660522
1767455933.3740857,970,1.796828269958496
